key,en,es-ES,es-LA,ca,zh-CN,zh-TW,ja,it,de,fr,pt-PT,ru,pt-BR,pl,tr,eu,oc,th,ko,cs
loadImage,Import Image [I],Importar imagen [I],Importar imagen [I],Importar Imatge [I],导入图像 [I],導入圖像 [I],画像をインポート [I],Importa immagine [I],Bild importieren [I],Importer une image [I],Importar Imagem [I],Импорт Изображения [I],Importar Imagem [I],Importuj Obraz [I],Resim İçe Aktar [I],Irudia Inportatu [I],Importar Imatge [I],นำเข้ารูป [I],MT: Import Image [I],1
paletteViewer,Palette Viewer,Visor de paleta,Visor de paleta,Visor de Paleta,调色板查看器,調色板檢視器,パレットビューア,Visualizzatore di palette,Paletten‑Ansicht,Visualiseur de palette,Visualizador de Paleta,Просмотр Палитры,Visualizador de Paleta,Podgląd Palety,Palet Görüntüleyici,Paleta Ikustailea,Visualizador de Paleta,ดูจานสี,MT: Palette Viewer,1
changeResolution,Change Resolution [R],Cambiar resolución [R],Cambiar resolución [R],Canviar Resolució [R],更改分辨率 [R],更改解析度 [R],解像度を変更 [R],Cambia risoluzione [R],Auflösung ändern [R],Changer la résolution [R],Alterar Resolução [R],Изменить Разрешение [R],Alterar Resolução [R],Zmień Rozdzielczość [R],Çözünürlüğü Değiştir [R],Bereizmena Aldatu [R],Cambiar Resolucion [R],เปลี่ยนความละเอียด [R],MT: Change Resolution [R],1
changeGrids,Change Grids [G],Cambiar rejillas [G],Cambiar rejillas [G],Canviar Quadrícules [G],更改网格 [G],更改網格 [G],グリッドを変更 [G],Cambia griglie [G],Raster ändern [G],Changer les grilles [G],Alterar Grelhas [G],Изменить Сетки [G],Alterar Grades [G],Zmień Siatki [G],Izgara Değiştir [G],Saretiak Aldatu [G],Cambiar Grilhas [G],เปลี่ยนเส้นตาราง [G],MT: Change Grids [G],1
settings,Settings,Ajustes,Ajustes,Configuració,设置,設定,設定,Impostazioni,Einstellungen,Paramètres,Definições,Настройки,Configurações,Ustawienia,Ayarlar,Ezarpenak,Configuracion,การตั้งค่า,MT: Settings,1
exportImage,Export Image [E],Exportar imagen [E],Exportar imagen [E],Exportar Imatge [E],导出图像 [E],匯出圖像 [E],画像をエクスポート [E],Esporta immagine [E],Bild exportieren [E],Exporter l’image [E],Exportar Imagem [E],Экспорт Изображения [E],Exportar Imagem [E],Eksportuj Obraz [E],Resim Dışa Aktar [E],Irudia Esportatu [E],Exportar Imatge [E],ส่งออกรูป [E],MT: Export Image [E],1
preview,Preview,Vista previa,Vista previa,Vista Prèvia,预览,預覽,プレビュー,Anteprima,Vorschau,Aperçu,Pré-visualização,Предпросмотр,Visualização,Podgląd,Önizleme,Aurrebista,Vista Prèvia,ดูตัวอย่าง,MT: Preview,1
appTitle,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,1
appSubtitle,Retro pixel art support suite,Herramientas retro para pixel art,Herramientas retro para pixel art,Eines retro per a pixel art,复古像素艺术支持工具,復古像素藝術工具套件,レトロなピクセルアート支援ツール,Suite di strumenti retro per pixel art,Retro-Pixelart-Werkzeug-Suite,Suite d'outils rétro pour pixel art,Retro pixel art support suite,Retro pixel art support suite,Retro pixel art support suite,Retro pixel art support suite,Retro pixel art support suite,Retro pixel art support suite,Eines retro per a pixel art,ชุดเครื่องมือสำหรับงานพิกเซลอาร์ตสไตล์เรโทร,레트로 픽셀 아트 지원 도구 모음,1
copyright,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,1
company,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,1
uploadImage,Upload Image,Subir imagen,Subir imagen,Pujar imatge,上传图片,上傳圖片,画像をアップロード,Carica immagine,Bild hochladen,Téléverser une image,Upload Image,Загрузить Изображение,Upload Image,Prześlij Obraz,Yükle Görüntü,Igo Irudia,Pujar imatge,อัปโหลดรูป,이미지 업로드,1
